date,description,amount,account,month,category,is_ghl,is_stripe_loan,is_business
1/2/25,Stripe Transfer St-J1A4W0L7G7I9 Ruben Ruiz,301.75,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/2/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,40.0,Wells Fargo Business,013125,Transfer,False,False,True
1/2/25,Recurring Payment authorized on 01/01 Google *Gsuite_Ran,7.2,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/2/25,Recurring Payment authorized on 01/01 Sinch Mailgun,35.14,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/2/25,Recurring Payment authorized on 01/02 Highlevel Inc.,25.0,Wells Fargo Business,013125,Software/SaaS,True,False,True
1/2/25,Online Transfer to Ruiz R Everyday Checking xxxxxx0928 Ref,100.0,Wells Fargo Business,013125,Loan/Payments,False,False,True
1/2/25,Purchase authorized on 01/02 Fairview Fuel D Goleta CA 45.49,180.71,Wells Fargo Business,013125,Travel,False,False,True
1/3/25,Stripe Transfer St-T8S7J2Y1W6E6 Ruben Ruiz,32.05,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/3/25,Online Transfer From Ruiz R Everyday Checking xxxxxx0928 Ref,800.0,Wells Fargo Business,013125,Transfer,False,False,True
1/3/25,Purchase authorized on 01/01 Pressed Juicery - Santa Barbara,14.0,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/3/25,Purchase authorized on 01/02 Powell Peralta 805-8457580 CA,4.4,Wells Fargo Business,013125,Uncategorized,False,False,True
1/3/25,Recurring Payment authorized on 01/02 x Corp. Paid Featu 16.00,978.36,Wells Fargo Business,013125,Uncategorized,False,False,True
1/6/25,Stripe Transfer St-E0H4E4V5Y8M4 Ruben Ruiz,19.92,Wells Fargo Business,013125,Software/SaaS,False,False,True
1/6/25,Purchase authorized on 01/02 IN-N-Out Goleta Goleta CA,11.85,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Purchase authorized on 01/03 PY *Cajun Kitchen Goleta CA,28.25,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
1/6/25,Purchase authorized on 01/03 Starbucks 05314 Goleta CA,13.65,Wells Fargo Business,013125,Meals/Entertainment,False,False,True
