Business Name,Phone,Email,Address,City,Category,Has Website,Website URL,Stage,Created Date
"Elite Santa Barbara Services",,,"",Santa Barbara,Contractor,No,,Outreach Sent,2026-02-24
"Quality Santa Barbara HVAC",,,"",Santa Barbara,Contractor,No,,Outreach Sent,2026-02-24
"",,,"",Santa Barbara,Other,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Retail,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Retail,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Retail,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Professional,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Professional,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Professional,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Medical,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Medical,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Medical,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Other,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Retail,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Retail,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Retail,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Professional,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Professional,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Professional,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Medical,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Medical,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Medical,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Automotive,No,,Prospect Found,2026-02-24
"Premier Santa Barbara Cleaning",,,"",Santa Barbara,Home Services,No,,Outreach Sent,2026-02-24
"",,,"",Goleta,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Goleta,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Santa Barbara,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Other,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Restaurant,No,,Prospect Found,2026-02-24
"Pro Santa Barbara Care",,,"",Santa Barbara,Home Services,No,,Outreach Sent,2026-02-24
"Quality Santa Barbara Home Services",,,"",Santa Barbara,Home Services,No,,Outreach Sent,2026-02-24
"",,,"",Santa Barbara,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Restaurant,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Retail,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Retail,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Retail,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Professional,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Professional,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Professional,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Medical,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Medical,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Medical,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Carpinteria,Automotive,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Contractor,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Home Services,No,,Prospect Found,2026-02-24
"",,,"",Ventura,Other,No,,Prospect Found,2026-02-24
