First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Elite Santa Barbara Services,,,,Elite Santa Barbara Services,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_0,Santa Barbara HVAC contractor,https://previews.rankingsb.com/quality-santa-barbara-contractors,Website Sales System,1,No,Outreach Sent,Website Sales - Contractor
Quality Santa Barbara HVAC,,,,Quality Santa Barbara HVAC,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_1,Santa Barbara plumber,https://previews.rankingsb.com/elite-santa-barbara-plumbing,Website Sales System,2,No,Outreach Sent,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,other,socal-leads",Other,prospect_1771895708133_10,Santa Barbara pressure washing,,Website Sales System,3,No,Prospect Found,Website Sales - Other
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_11,Santa Barbara restaurant,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_12,Santa Barbara cafe,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_13,Santa Barbara bakery,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_14,Santa Barbara boutique,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_15,Santa Barbara gift shop,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_16,Santa Barbara furniture store,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_17,Santa Barbara accountant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_18,Santa Barbara lawyer,,Website Sales System,3,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_19,Santa Barbara consultant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_2,Santa Barbara electrician,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_20,Santa Barbara dentist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_21,Santa Barbara chiropractor,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_22,Santa Barbara massage therapist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_23,Santa Barbara auto repair,,Website Sales System,3,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_24,Santa Barbara car detailing,,Website Sales System,3,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_25,Santa Barbara mechanic,,Website Sales System,3,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_26,Goleta HVAC contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_27,Goleta plumber,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_28,Goleta electrician,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_29,Goleta roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_3,Santa Barbara roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_30,Goleta solar installer,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_31,Goleta landscaping service,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_32,Goleta pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_33,Goleta house cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_34,Goleta carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_35,Goleta window cleaning,,Website Sales System,2,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,other,socal-leads",Other,prospect_1771895708133_36,Goleta pressure washing,,Website Sales System,1,No,Prospect Found,Website Sales - Other
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_37,Goleta restaurant,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_38,Goleta cafe,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Goleta,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_39,Goleta bakery,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_4,Santa Barbara solar installer,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_40,Goleta boutique,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_41,Goleta gift shop,,Website Sales System,1,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_42,Goleta furniture store,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_43,Goleta accountant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_44,Goleta lawyer,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_45,Goleta consultant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_46,Goleta dentist,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_47,Goleta chiropractor,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_48,Goleta massage therapist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_49,Goleta auto repair,,Website Sales System,1,No,Prospect Found,Website Sales - Automotive
Premier Santa Barbara Cleaning,,,,Premier Santa Barbara Cleaning,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_5,Santa Barbara landscaping service,https://previews.rankingsb.com/santa-barbara-care,Website Sales System,2,No,Outreach Sent,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_50,Goleta car detailing,,Website Sales System,3,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Goleta,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708133_51,Goleta mechanic,,Website Sales System,2,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_52,Carpinteria HVAC contractor,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_53,Carpinteria plumber,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_54,Carpinteria electrician,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_55,Carpinteria roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_56,Carpinteria solar installer,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_57,Carpinteria landscaping service,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_58,Carpinteria pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_59,Carpinteria house cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_6,Santa Barbara pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_60,Carpinteria carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_61,Carpinteria window cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,other,socal-leads",Other,prospect_1771895708133_62,Carpinteria pressure washing,,Website Sales System,2,No,Prospect Found,Website Sales - Other
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708133_63,Carpinteria restaurant,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Pro Santa Barbara Care,,,,Pro Santa Barbara Care,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_7,Santa Barbara house cleaning,https://previews.rankingsb.com/trusted-santa-barbara-home-services,Website Sales System,1,No,Outreach Sent,Website Sales - Home Services
Quality Santa Barbara Home Services,,,,Quality Santa Barbara Home Services,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_8,Santa Barbara carpet cleaning,https://previews.rankingsb.com/pro-santa-barbara-cleaning,Website Sales System,2,No,Outreach Sent,Website Sales - Home Services
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_9,Santa Barbara window cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_64,Carpinteria cafe,,Website Sales System,1,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_65,Carpinteria bakery,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_66,Carpinteria boutique,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_67,Carpinteria gift shop,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_68,Carpinteria furniture store,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_69,Carpinteria accountant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_70,Carpinteria lawyer,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_71,Carpinteria consultant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_72,Carpinteria dentist,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_73,Carpinteria chiropractor,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_74,Carpinteria massage therapist,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708134_75,Carpinteria auto repair,,Website Sales System,1,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708134_76,Carpinteria car detailing,,Website Sales System,2,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,automotive,socal-leads",Automotive,prospect_1771895708134_77,Carpinteria mechanic,,Website Sales System,2,No,Prospect Found,Website Sales - Automotive
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_78,Ventura HVAC contractor,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_79,Ventura plumber,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_80,Ventura electrician,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_81,Ventura roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_82,Ventura solar installer,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_83,Ventura landscaping service,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_84,Ventura pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_85,Ventura house cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_86,Ventura carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_87,Ventura window cleaning,,Website Sales System,2,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,other,socal-leads",Other,prospect_1771895708134_88,Ventura pressure washing,,Website Sales System,2,No,Prospect Found,Website Sales - Other
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_89,Ventura restaurant,,Website Sales System,2,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_90,Ventura cafe,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,restaurant,socal-leads",Restaurant,prospect_1771895708134_91,Ventura bakery,,Website Sales System,3,No,Prospect Found,Website Sales - Restaurant
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_92,Ventura boutique,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_93,Ventura gift shop,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_94,Ventura furniture store,,Website Sales System,1,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_95,Ventura accountant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_96,Ventura lawyer,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_97,Ventura consultant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_98,Ventura dentist,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Ventura,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_99,Ventura chiropractor,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
