First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Elite Santa Barbara Services,,,,Elite Santa Barbara Services,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_0,Santa Barbara HVAC contractor,https://previews.rankingsb.com/quality-santa-barbara-contractors,Website Sales System,1,No,Outreach Sent,Website Sales - Contractor
Quality Santa Barbara HVAC,,,,Quality Santa Barbara HVAC,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_1,Santa Barbara plumber,https://previews.rankingsb.com/elite-santa-barbara-plumbing,Website Sales System,2,No,Outreach Sent,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_2,Santa Barbara electrician,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_26,Goleta HVAC contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_27,Goleta plumber,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_28,Goleta electrician,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_29,Goleta roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_3,Santa Barbara roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Goleta,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_30,Goleta solar installer,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_4,Santa Barbara solar installer,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_52,Carpinteria HVAC contractor,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_53,Carpinteria plumber,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_54,Carpinteria electrician,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_55,Carpinteria roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708133_56,Carpinteria solar installer,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_78,Ventura HVAC contractor,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_79,Ventura plumber,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_80,Ventura electrician,,Website Sales System,2,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_81,Ventura roofing contractor,,Website Sales System,3,No,Prospect Found,Website Sales - Contractor
Unknown Business,,,,,,Ventura,CA,US,"website-sales,contractor,socal-leads",Contractor,prospect_1771895708134_82,Ventura solar installer,,Website Sales System,1,No,Prospect Found,Website Sales - Contractor
