First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_31,Goleta landscaping service,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_32,Goleta pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_33,Goleta house cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_34,Goleta carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Goleta,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_35,Goleta window cleaning,,Website Sales System,2,No,Prospect Found,Website Sales - Home Services
Premier Santa Barbara Cleaning,,,,Premier Santa Barbara Cleaning,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_5,Santa Barbara landscaping service,https://previews.rankingsb.com/santa-barbara-care,Website Sales System,2,No,Outreach Sent,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_57,Carpinteria landscaping service,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_58,Carpinteria pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_59,Carpinteria house cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_6,Santa Barbara pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_60,Carpinteria carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_61,Carpinteria window cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Pro Santa Barbara Care,,,,Pro Santa Barbara Care,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_7,Santa Barbara house cleaning,https://previews.rankingsb.com/trusted-santa-barbara-home-services,Website Sales System,1,No,Outreach Sent,Website Sales - Home Services
Quality Santa Barbara Home Services,,,,Quality Santa Barbara Home Services,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_8,Santa Barbara carpet cleaning,https://previews.rankingsb.com/pro-santa-barbara-cleaning,Website Sales System,2,No,Outreach Sent,Website Sales - Home Services
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708133_9,Santa Barbara window cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_83,Ventura landscaping service,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_84,Ventura pest control,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_85,Ventura house cleaning,,Website Sales System,3,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_86,Ventura carpet cleaning,,Website Sales System,1,No,Prospect Found,Website Sales - Home Services
Unknown Business,,,,,,Ventura,CA,US,"website-sales,home-services,socal-leads",Home Services,prospect_1771895708134_87,Ventura window cleaning,,Website Sales System,2,No,Prospect Found,Website Sales - Home Services
