First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_20,Santa Barbara dentist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_21,Santa Barbara chiropractor,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_22,Santa Barbara massage therapist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_46,Goleta dentist,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_47,Goleta chiropractor,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Goleta,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708133_48,Goleta massage therapist,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_72,Carpinteria dentist,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_73,Carpinteria chiropractor,,Website Sales System,1,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_74,Carpinteria massage therapist,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Ventura,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_98,Ventura dentist,,Website Sales System,2,No,Prospect Found,Website Sales - Medical
Unknown Business,,,,,,Ventura,CA,US,"website-sales,medical,socal-leads",Medical,prospect_1771895708134_99,Ventura chiropractor,,Website Sales System,3,No,Prospect Found,Website Sales - Medical
