First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_17,Santa Barbara accountant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_18,Santa Barbara lawyer,,Website Sales System,3,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_19,Santa Barbara consultant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_43,Goleta accountant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_44,Goleta lawyer,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Goleta,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708133_45,Goleta consultant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_69,Carpinteria accountant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_70,Carpinteria lawyer,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_71,Carpinteria consultant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_95,Ventura accountant,,Website Sales System,2,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_96,Ventura lawyer,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
Unknown Business,,,,,,Ventura,CA,US,"website-sales,professional,socal-leads",Professional,prospect_1771895708134_97,Ventura consultant,,Website Sales System,1,No,Prospect Found,Website Sales - Professional
