First Name,Last Name,Email,Phone,Company Name,Address,City,State,Country,Tags,Business Category,Prospect ID,Query,Mockup URL,Lead Source,Priority,Has Website,Stage,Pipeline
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_14,Santa Barbara boutique,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_15,Santa Barbara gift shop,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Santa Barbara,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_16,Santa Barbara furniture store,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_40,Goleta boutique,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_41,Goleta gift shop,,Website Sales System,1,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Goleta,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708133_42,Goleta furniture store,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_66,Carpinteria boutique,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_67,Carpinteria gift shop,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Carpinteria,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_68,Carpinteria furniture store,,Website Sales System,2,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_92,Ventura boutique,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_93,Ventura gift shop,,Website Sales System,3,No,Prospect Found,Website Sales - Retail
Unknown Business,,,,,,Ventura,CA,US,"website-sales,retail,socal-leads",Retail,prospect_1771895708134_94,Ventura furniture store,,Website Sales System,1,No,Prospect Found,Website Sales - Retail
